date,hometeam,awayteam,home,away
13 Sep 25,Australia,Argentina,26,28
06 Sep 25,Australia,Argentina,28,24
07 Sep 24,Argentina,Australia,67,27
31 Aug 24,Argentina,Australia,19,20
15 Jul 23,Australia,Argentina,31,34
12 Jul 25,Argentina,England,17,22
05 Jul 25,Argentina,England,12,35
27 Oct 23,Argentina,England,23,26
09 Sep 23,England,Argentina,27,10
06 Nov 22,England,Argentina,29,30
15 Nov 24,Ireland,Argentina,22,19
10 Nov 18,Ireland,Argentina,28,17
25 Nov 17,Ireland,Argentina,28,19
08 Oct 23,Japan,Argentina,27,39
05 Nov 16,Japan,Argentina,20,54
22 Nov 24,France,Argentina,37,23
13 Jul 24,Argentina,France,33,25
06 Jul 24,Argentina,France,13,28
21 Sep 19,France,Argentina,23,21
17 Nov 18,France,Argentina,28,13
24 Jun 17,Argentina,Georgia,45,29
09 Nov 24,Italy,Argentina,18,50
18 Nov 17,Italy,Argentina,15,31
11 Jun 16,Argentina,Italy,30,24
14 Nov 14,Italy,Argentina,18,20
23 Aug 25,Argentina,New Zealand,29,23
16 Aug 25,Argentina,New Zealand,24,41
17 Aug 24,New Zealand,Argentina,42,10
10 Aug 24,New Zealand,Argentina,30,38
20 Oct 23,Argentina,New Zealand,6,44
22 Sep 23,Argentina,Samoa,19,10
19 Nov 22,Scotland,Argentina,52,29
16 Jul 22,Argentina,Scotland,34,31
09 Jul 22,Argentina,Scotland,6,25
02 Jul 22,Argentina,Scotland,26,18
24 Nov 18,Scotland,Argentina,14,9
04 Oct 25,Argentina,South Africa,27,29
27 Sep 25,South Africa,Argentina,67,30
28 Sep 24,South Africa,Argentina,48,7
21 Sep 24,Argentina,South Africa,29,28
05 Aug 23,Argentina,South Africa,13,24
28 Sep 19,Argentina,Tonga,28,12
14 Oct 23,Wales,Argentina,17,29
12 Nov 22,Wales,Argentina,20,13
17 Jul 21,Argentina,Wales,33,11
10 Jul 21,Argentina,Wales,20,20
16 Jun 18,Argentina,Wales,12,30
01 Nov 25,England,Australia,25,7
09 Nov 24,England,Australia,37,42
16 Jul 22,Australia,England,17,21
09 Jul 22,Australia,England,17,25
02 Jul 22,Australia,England,30,28
30 Nov 24,Ireland,Australia,22,19
19 Nov 22,Ireland,Australia,13,10
23 Jun 18,Australia,Ireland,16,20
16 Jun 18,Australia,Ireland,21,26
09 Jun 18,Australia,Ireland,18,9
25 Oct 25,Japan,Australia,15,19
04 Nov 17,Japan,Australia,30,63
06 Jul 25,Australia,Fiji,21,18
17 Sep 23,Australia,Fiji,15,22
21 Sep 19,Australia,Fiji,39,21
10 Jun 17,Australia,Fiji,37,14
27 Aug 23,France,Australia,41,17
05 Nov 22,France,Australia,30,29
17 Jul 21,Australia,France,33,30
13 Jul 21,Australia,France,26,28
07 Jul 21,Australia,France,23,21
20 Jul 24,Australia,Georgia,40,29
09 Sep 23,Australia,Georgia,35,15
11 Oct 19,Australia,Georgia,27,8
12 Nov 22,Italy,Australia,28,27
17 Nov 18,Italy,Australia,7,26
24 Jun 17,Australia,Italy,40,27
04 Oct 25,Australia,New Zealand,14,28
27 Sep 25,New Zealand,Australia,33,24
28 Sep 24,New Zealand,Australia,33,13
21 Sep 24,Australia,New Zealand,28,31
05 Aug 23,New Zealand,Australia,23,20
24 Nov 24,Scotland,Australia,27,13
29 Oct 22,Scotland,Australia,15,16
25 Nov 17,Scotland,Australia,53,24
